station_code,station_latitude_deg,station_longitude_deg,site_key,mesh_code,jcode,avs30_mps,arv,avs_eb_mps,avs_ref,jshis_known
IBR016,35.9112,140.0494,IBR016|35.9112|140.0494,5340609324,10.0,253.6,1.4744,423.3,1.0,1
IBR017,35.9537,140.3194,IBR017|35.9537|140.3194,5340724523,16.0,180.7,1.9677,460.2,1.0,1
IBR018,35.977,140.6322,IBR018|35.9770|140.6322,5340757021,9.0,273.8,1.3813,353.2,1.0,1
IBR019,36.8808,140.6544,IBR019|36.8808|140.6544,5540255232,10.0,432.7,0.9353,792.7,1.0,1
ISK001,37.4999,137.1764,ISK001|37.4999|137.1764,5637119433,1.0,641.3,0.6689,,0.0,1
ISK002,37.4443,137.2877,ISK002|37.4443|137.2877,5637123313,16.0,260.2,1.4425,,0.0,1
ISK003,37.3919,136.9083,ISK003|37.3919|136.9083,5636077221,15.0,207.5,1.749,,0.0,1
ISK004,37.308,137.147,ISK004|37.3080|137.1470,5537716144,16.0,260.2,1.4425,,0.0,1
ISK005,37.2307,136.9039,ISK005|37.2307|136.9039,5536677232,15.0,207.5,1.749,,0.0,1
ISK006,37.1598,136.6892,ISK006|37.1598|136.6892,5536559511,3.0,408.5,0.9822,,0.0,1
ISK006,37.1602,136.6897,ISK006|37.1602|136.6897,5536559511,3.0,408.5,0.9822,,0.0,1
ISK007,37.0427,136.9681,ISK007|37.0427|136.9681,5536475712,15.0,202.8,1.7835,,0.0,1
ISK008,36.8918,136.7783,ISK008|36.8918|136.7783,5536267212,17.0,194.5,1.8484,,0.0,1
ISK009,36.7318,136.6989,ISK009|36.7318|136.6989,5536057544,17.0,194.5,1.8484,,0.0,1
ISK010,36.5419,136.6431,ISK010|36.5419|136.6431,5436655112,8.0,371.1,1.0659,,0.0,1
ISK011,36.3967,136.4432,ISK011|36.3967|136.4432,5436437532,15.0,187.0,1.9112,,0.0,1
ISK012,36.3575,136.6045,ISK012|36.3575|136.6045,5436442834,8.0,500.5,0.8262,,0.0,1
ISK013,36.1769,136.6245,ISK013|36.1769|136.6245,5436241922,8.0,561.6,0.7489,,0.0,1
ISK013,36.1805,136.6247,ISK013|36.1805|136.6247,5436241942,8.0,551.6,0.7605,,0.0,1
ISK014,36.3028,136.3154,ISK014|36.3028|136.3154,5436326513,13.0,165.8,2.118,,0.0,1
IWT001,40.4099,141.7191,IWT001|40.4099|141.7191,6041459721,9.0,197.4,1.8251,,0.0,1
IWT002,40.1819,141.7641,IWT002|40.1819|141.7641,6041261133,3.0,468.1,0.8746,,0.0,1
IWT003,40.0083,141.8861,IWT003|40.0083|141.8861,6041070044,10.0,267.3,1.4099,,0.0,1
IWT004,39.7369,141.9697,IWT004|39.7369|141.9697,5941478723,15.0,207.5,1.749,,0.0,1
IWT005,39.6472,141.9464,IWT005|39.6472|141.9464,5941377541,15.0,207.5,1.749,,0.0,1
IWT006,39.4806,141.9652,IWT006|39.4806|141.9652,5941177731,1.0,775.5,0.5689,,0.0,1
IWT007,39.2701,141.8561,IWT007|39.2701|141.8561,5841762814,1.0,775.5,0.5689,,0.0,1
IWT008,39.0815,141.7083,IWT008|39.0815|141.7083,5841459643,3.0,418.2,0.9628,,0.0,1
IWT009,39.0187,141.4031,IWT009|39.0187|141.4031,5841432211,10.0,399.7,1.0006,,0.0,1
IWT010,38.9334,141.1173,IWT010|38.9334|141.1173,5841302912,8.0,429.9,0.9405,,0.0,1
IWT011,39.1454,141.152,IWT011|39.1454|141.1520,5841517213,11.0,316.2,1.2218,,0.0,1
IWT012,39.3209,141.1378,IWT012|39.3209|141.1378,5841718131,12.0,242.0,1.5344,,0.0,1
IWT013,39.3367,141.5378,IWT013|39.3367|141.5378,5941040313,10.0,429.6,0.9411,,0.0,1
IWT014,39.4844,141.147,IWT014|39.4844|141.1470,5941118122,13.0,177.6,1.9969,,0.0,1
IWT015,39.318,140.7792,IWT015|39.3180|140.7792,5840768212,8.0,521.5,0.7977,,0.0,1
IWT016,39.5997,141.6789,IWT016|39.5997|141.6789,5941351434,8.0,511.2,0.8114,,0.0,1
IWT017,39.6336,141.4376,IWT017|39.6336|141.4376,5941336511,8.0,548.6,0.764,,0.0,1
IWT018,39.6953,141.1478,IWT018|39.6953|141.1478,5941413124,11.0,341.8,1.1433,,0.0,1
IWT019,39.8428,141.7952,IWT019|39.8428|141.7952,5941661321,8.0,477.3,0.8603,,0.0,1
